MetaMessage('set_tempo', tempo=500000, time=0)
note_off channel=0 note=87 velocity=64 time=0
note_on channel=0 note=63 velocity=21 time=9
note_on channel=0 note=94 velocity=34 time=0
note_on channel=0 note=75 velocity=24 time=1
note_on channel=0 note=79 velocity=22 time=0
note_on channel=0 note=84 velocity=31 time=0
note_on channel=0 note=72 velocity=29 time=1
note_on channel=0 note=82 velocity=21 time=0
note_on channel=0 note=91 velocity=36 time=0
note_on channel=0 note=87 velocity=26 time=1
note_on channel=0 note=60 velocity=26 time=1
note_off channel=0 note=79 velocity=64 time=0
note_on channel=0 note=79 velocity=48 time=1
note_on channel=0 note=100 velocity=10 time=0
note_off channel=0 note=87 velocity=64 time=1
note_off channel=0 note=84 velocity=64 time=1
note_on channel=0 note=87 velocity=25 time=0
note_off channel=0 note=63 velocity=64 time=1
note_off channel=0 note=100 velocity=64 time=1
note_off channel=0 note=60 velocity=64 time=1
note_off channel=0 note=72 velocity=64 time=0
note_off channel=0 note=75 velocity=64 time=0
note_off channel=0 note=79 velocity=64 time=0
note_off channel=0 note=82 velocity=64 time=0
note_off channel=0 note=87 velocity=64 time=0
note_off channel=0 note=91 velocity=64 time=0
note_off channel=0 note=94 velocity=64 time=0
note_on channel=0 note=56 velocity=15 time=12
note_on channel=0 note=87 velocity=19 time=0
note_on channel=0 note=84 velocity=22 time=2
note_on channel=0 note=80 velocity=20 time=2
note_off channel=0 note=56 velocity=64 time=4
note_off channel=0 note=80 velocity=64 time=0
note_off channel=0 note=84 velocity=64 time=0
note_off channel=0 note=87 velocity=64 time=0
note_on channel=0 note=63 velocity=24 time=8
note_on channel=0 note=75 velocity=31 time=1
note_on channel=0 note=84 velocity=32 time=0
note_on channel=0 note=91 velocity=39 time=0
note_on channel=0 note=94 velocity=38 time=0
note_on channel=0 note=72 velocity=33 time=1
note_on channel=0 note=82 velocity=27 time=1
note_on channel=0 note=60 velocity=30 time=1
note_on channel=0 note=70 velocity=14 time=0
note_on channel=0 note=79 velocity=40 time=0
note_on channel=0 note=87 velocity=32 time=0
note_on channel=0 note=100 velocity=11 time=1
note_on channel=0 note=51 velocity=13 time=2
note_off channel=0 note=70 velocity=64 time=0
note_off channel=0 note=84 velocity=64 time=0
note_off channel=0 note=87 velocity=64 time=1
note_off channel=0 note=63 velocity=64 time=1
note_off channel=0 note=82 velocity=64 time=0
note_off channel=0 note=51 velocity=64 time=1
note_off channel=0 note=75 velocity=64 time=0
note_off channel=0 note=79 velocity=64 time=0
note_off channel=0 note=91 velocity=64 time=0
note_off channel=0 note=100 velocity=64 time=0
note_off channel=0 note=60 velocity=64 time=1
note_off channel=0 note=72 velocity=64 time=0
note_off channel=0 note=94 velocity=64 time=0
note_on channel=0 note=56 velocity=12 time=13
note_on channel=0 note=87 velocity=14 time=0
note_on channel=0 note=84 velocity=19 time=2
note_on channel=0 note=80 velocity=17 time=3
note_off channel=0 note=56 velocity=64 time=3
note_off channel=0 note=84 velocity=64 time=0
note_off channel=0 note=87 velocity=64 time=0
note_off channel=0 note=80 velocity=64 time=1
note_on channel=0 note=63 velocity=26 time=8
note_on channel=0 note=94 velocity=40 time=0
note_on channel=0 note=75 velocity=29 time=1
note_on channel=0 note=91 velocity=23 time=0
note_on channel=0 note=82 velocity=27 time=1
note_on channel=0 note=51 velocity=15 time=1
note_on channel=0 note=70 velocity=14 time=0
note_on channel=0 note=87 velocity=32 time=0
note_on channel=0 note=79 velocity=29 time=1
note_on channel=0 note=101 velocity=12 time=1
note_off channel=0 note=101 velocity=64 time=4
note_off channel=0 note=51 velocity=64 time=1
note_off channel=0 note=63 velocity=64 time=0
note_off channel=0 note=70 velocity=64 time=0
note_off channel=0 note=79 velocity=64 time=0
note_off channel=0 note=82 velocity=64 time=0
note_off channel=0 note=91 velocity=64 time=0
note_off channel=0 note=94 velocity=64 time=0
note_off channel=0 note=75 velocity=64 time=1
note_off channel=0 note=87 velocity=64 time=0
note_on channel=0 note=55 velocity=33 time=7
note_on channel=0 note=87 velocity=43 time=0
note_on channel=0 note=80 velocity=46 time=1
note_off channel=0 note=55 velocity=64 time=1
note_on channel=0 note=56 velocity=39 time=0
note_on channel=0 note=84 velocity=45 time=0
note_on channel=0 note=77 velocity=29 time=1
note_on channel=0 note=90 velocity=29 time=1
note_on channel=0 note=72 velocity=16 time=3
note_on channel=0 note=94 velocity=20 time=1
note_off channel=0 note=72 velocity=64 time=4
note_off channel=0 note=84 velocity=64 time=0
note_off channel=0 note=87 velocity=64 time=0
note_off channel=0 note=90 velocity=64 time=0
note_off channel=0 note=94 velocity=64 time=0
note_off channel=0 note=56 velocity=64 time=1
note_off channel=0 note=77 velocity=64 time=0
note_off channel=0 note=80 velocity=64 time=0
note_on channel=0 note=63 velocity=28 time=7
note_on channel=0 note=75 velocity=33 time=0
note_on channel=0 note=87 velocity=35 time=0
note_on channel=0 note=94 velocity=43 time=0
note_on channel=0 note=82 velocity=28 time=1
note_on channel=0 note=84 velocity=28 time=0
note_on channel=0 note=72 velocity=27 time=1
note_on channel=0 note=103 velocity=23 time=0
note_on channel=0 note=60 velocity=24 time=1
note_on channel=0 note=70 velocity=18 time=0
note_on channel=0 note=91 velocity=36 time=0
note_on channel=0 note=79 velocity=49 time=1
note_off channel=0 note=84 velocity=64 time=2
note_off channel=0 note=60 velocity=64 time=2
note_off channel=0 note=82 velocity=64 time=0
note_off channel=0 note=91 velocity=64 time=0
note_off channel=0 note=63 velocity=64 time=1
note_off channel=0 note=70 velocity=64 time=0
note_off channel=0 note=72 velocity=64 time=0
note_off channel=0 note=75 velocity=64 time=0
note_off channel=0 note=79 velocity=64 time=0
note_off channel=0 note=87 velocity=64 time=0
note_off channel=0 note=94 velocity=64 time=0
note_off channel=0 note=103 velocity=64 time=0
note_on channel=0 note=68 velocity=52 time=11
note_on channel=0 note=87 velocity=32 time=1
note_on channel=0 note=56 velocity=20 time=2
note_on channel=0 note=84 velocity=21 time=1
note_off channel=0 note=56 velocity=64 time=5
note_off channel=0 note=84 velocity=64 time=0
note_on channel=0 note=63 velocity=25 time=8
note_on channel=0 note=72 velocity=37 time=0
note_on channel=0 note=84 velocity=38 time=0
note_on channel=0 note=75 velocity=31 time=1
note_on channel=0 note=91 velocity=39 time=0
note_on channel=0 note=94 velocity=39 time=0
note_on channel=0 note=60 velocity=36 time=1
note_on channel=0 note=78 velocity=36 time=0
note_on channel=0 note=82 velocity=26 time=0
note_on channel=0 note=100 velocity=19 time=0
note_on channel=0 note=88 velocity=35 time=1
note_off channel=0 note=78 velocity=64 time=1
note_on channel=0 note=79 velocity=52 time=0
note_off channel=0 note=87 velocity=64 time=0
note_off channel=0 note=84 velocity=64 time=2
note_on channel=0 note=84 velocity=40 time=1
note_on channel=0 note=86 velocity=10 time=0
note_off channel=0 note=88 velocity=64 time=0
note_off channel=0 note=63 velocity=64 time=1
note_off channel=0 note=82 velocity=64 time=0
note_off channel=0 note=79 velocity=64 time=1
note_off channel=0 note=60 velocity=64 time=1
note_off channel=0 note=72 velocity=64 time=0
note_off channel=0 note=75 velocity=64 time=0
note_off channel=0 note=86 velocity=64 time=0
note_off channel=0 note=91 velocity=64 time=0
note_off channel=0 note=94 velocity=64 time=0
note_off channel=0 note=100 velocity=64 time=0
note_off channel=0 note=84 velocity=64 time=1
note_on channel=0 note=56 velocity=34 time=11
note_on channel=0 note=87 velocity=40 time=0
note_on channel=0 note=84 velocity=38 time=2
note_on channel=0 note=77 velocity=23 time=2
note_on channel=0 note=90 velocity=25 time=0
note_on channel=0 note=94 velocity=17 time=4
note_on channel=0 note=72 velocity=11 time=1
note_off channel=0 note=84 velocity=64 time=1
note_off channel=0 note=94 velocity=64 time=1
note_off channel=0 note=56 velocity=64 time=1
note_off channel=0 note=72 velocity=64 time=0
note_off channel=0 note=77 velocity=64 time=0
note_off channel=0 note=90 velocity=64 time=0
note_off channel=0 note=87 velocity=64 time=2
note_on channel=0 note=63 velocity=29 time=3
note_on channel=0 note=75 velocity=39 time=1
note_on channel=0 note=91 velocity=38 time=0
note_on channel=0 note=94 velocity=45 time=0
note_on channel=0 note=82 velocity=32 time=1
note_on channel=0 note=72 velocity=25 time=1
note_on channel=0 note=84 velocity=26 time=0
note_on channel=0 note=51 velocity=23 time=2
note_on channel=0 note=79 velocity=47 time=0
note_on channel=0 note=101 velocity=18 time=0
note_on channel=0 note=60 velocity=21 time=1
note_on channel=0 note=100 velocity=9 time=1
note_off channel=0 note=84 velocity=64 time=1
note_off channel=0 note=60 velocity=64 time=2
note_off channel=0 note=100 velocity=64 time=0
note_off channel=0 note=72 velocity=64 time=1
note_off channel=0 note=51 velocity=64 time=1
note_off channel=0 note=63 velocity=64 time=0
note_off channel=0 note=79 velocity=64 time=0
note_off channel=0 note=82 velocity=64 time=0
note_off channel=0 note=91 velocity=64 time=0
note_off channel=0 note=101 velocity=64 time=0
note_off channel=0 note=75 velocity=64 time=1
note_off channel=0 note=94 velocity=64 time=0
note_off channel=0 note=68 velocity=64 time=4
note_on channel=0 note=75 velocity=60 time=3
note_on channel=0 note=55 velocity=29 time=3
note_on channel=0 note=92 velocity=40 time=0
note_off channel=0 note=55 velocity=64 time=2
note_on channel=0 note=56 velocity=33 time=0
note_on channel=0 note=84 velocity=38 time=0
note_on channel=0 note=68 velocity=37 time=1
note_on channel=0 note=77 velocity=31 time=1
note_on channel=0 note=80 velocity=41 time=0
note_on channel=0 note=102 velocity=19 time=0
note_on channel=0 note=90 velocity=26 time=1
note_on channel=0 note=72 velocity=16 time=2
note_on channel=0 note=94 velocity=16 time=1
note_on channel=0 note=100 velocity=10 time=5
note_off channel=0 note=72 velocity=64 time=3
note_on channel=0 note=73 velocity=47 time=0
note_off channel=0 note=94 velocity=64 time=0
note_off channel=0 note=100 velocity=64 time=0
note_off channel=0 note=56 velocity=64 time=1
note_off channel=0 note=77 velocity=64 time=0
note_off channel=0 note=90 velocity=64 time=0
note_off channel=0 note=102 velocity=64 time=0
note_on channel=0 note=63 velocity=22 time=1
note_off channel=0 note=68 velocity=64 time=0
note_off channel=0 note=80 velocity=64 time=0
note_off channel=0 note=84 velocity=64 time=0
note_on channel=0 note=84 velocity=34 time=1
note_on channel=0 note=91 velocity=38 time=0
note_off channel=0 note=92 velocity=64 time=0
note_on channel=0 note=94 velocity=36 time=0
note_on channel=0 note=82 velocity=23 time=2
note_on channel=0 note=60 velocity=30 time=1
note_on channel=0 note=79 velocity=44 time=0
note_on channel=0 note=88 velocity=30 time=0
note_on channel=0 note=101 velocity=10 time=1
note_off channel=0 note=88 velocity=64 time=2
note_off channel=0 note=60 velocity=64 time=3
note_off channel=0 note=63 velocity=64 time=0
note_off channel=0 note=82 velocity=64 time=0
note_off channel=0 note=91 velocity=64 time=0
note_off channel=0 note=94 velocity=64 time=0
note_off channel=0 note=101 velocity=64 time=0
note_off channel=0 note=79 velocity=64 time=1
note_off channel=0 note=84 velocity=64 time=0
note_off channel=0 note=75 velocity=64 time=6
note_on channel=0 note=72 velocity=50 time=1
note_off channel=0 note=73 velocity=64 time=0
note_on channel=0 note=91 velocity=13 time=1
note_on channel=0 note=96 velocity=18 time=0
note_on channel=0 note=87 velocity=26 time=2
note_on channel=0 note=56 velocity=24 time=2
note_off channel=0 note=91 velocity=64 time=1
note_on channel=0 note=80 velocity=31 time=2
note_on channel=0 note=77 velocity=14 time=2
note_on channel=0 note=90 velocity=15 time=0
note_off channel=0 note=96 velocity=64 time=5
note_off channel=0 note=56 velocity=64 time=2
note_off channel=0 note=77 velocity=64 time=0
note_off channel=0 note=90 velocity=64 time=0
note_off channel=0 note=80 velocity=64 time=1
note_off channel=0 note=87 velocity=64 time=0
note_on channel=0 note=70 velocity=55 time=2
note_off channel=0 note=72 velocity=64 time=0
note_on channel=0 note=63 velocity=27 time=1
note_on channel=0 note=89 velocity=18 time=0
note_on channel=0 note=75 velocity=28 time=1
note_on channel=0 note=84 velocity=32 time=0
note_on channel=0 note=87 velocity=31 time=0
note_on channel=0 note=91 velocity=37 time=0
note_on channel=0 note=94 velocity=36 time=0
note_on channel=0 note=72 velocity=33 time=2
note_on channel=0 note=60 velocity=24 time=1
note_on channel=0 note=79 velocity=45 time=0
note_off channel=0 note=72 velocity=64 time=1
note_off channel=0 note=63 velocity=64 time=1
note_on channel=0 note=72 velocity=30 time=0
note_on channel=0 note=88 velocity=31 time=0
note_off channel=0 note=75 velocity=64 time=1
note_off channel=0 note=84 velocity=64 time=0
note_off channel=0 note=87 velocity=64 time=0
note_off channel=0 note=94 velocity=64 time=0
note_off channel=0 note=60 velocity=64 time=1
note_off channel=0 note=72 velocity=64 time=0
note_off channel=0 note=79 velocity=64 time=0
note_off channel=0 note=88 velocity=64 time=0
note_off channel=0 note=91 velocity=64 time=0
note_off channel=0 note=89 velocity=64 time=3
note_on channel=0 note=68 velocity=55 time=9
note_off channel=0 note=70 velocity=64 time=0
note_on channel=0 note=51 velocity=33 time=1
note_on channel=0 note=63 velocity=38 time=0
note_on channel=0 note=82 velocity=48 time=0
note_on channel=0 note=79 velocity=43 time=1
note_on channel=0 note=87 velocity=44 time=0
note_on channel=0 note=85 velocity=32 time=1
note_on channel=0 note=75 velocity=45 time=1
note_on channel=0 note=89 velocity=26 time=2
note_off channel=0 note=51 velocity=64 time=7
